Date,Open,High,Low,Close,Adj Close,Volume
2019-01-02,2476.96,2519.49,2467.47,2510.03,2510.03,3733160000
2019-01-03,2491.92,2493.14,2443.96,2447.89,2447.89,3858830000
2019-01-04,2474.33,2538.07,2474.33,2531.94,2531.94,4234140000
2019-01-07,2535.61,2566.16,2524.56,2549.69,2549.69,4133120000
2019-01-08,2568.11,2579.82,2547.56,2574.41,2574.41,4120060000
2019-01-09,2580,2595.32,2568.89,2584.96,2584.96,4088740000
2019-01-10,2573.51,2597.82,2562.02,2596.64,2596.64,3721300000
2019-01-11,2588.11,2596.27,2577.4,2596.26,2596.26,3447460000
2019-01-14,2580.31,2589.32,2570.41,2582.61,2582.61,3689370000
2019-01-15,2585.1,2613.08,2585.1,2610.3,2610.3,3601180000
2019-01-16,2614.75,2625.76,2612.68,2616.1,2616.1,3882180000
2019-01-17,2609.28,2645.06,2606.36,2635.96,2635.96,3802410000
2019-01-18,2651.27,2675.47,2647.58,2670.71,2670.71,4009010000
2019-01-22,2657.88,2657.88,2617.27,2632.9,2632.9,3923950000
2019-01-23,2643.48,2653.19,2612.86,2638.7,2638.7,3358770000
2019-01-24,2638.84,2647.2,2627.01,2642.33,2642.33,3449230000
2019-01-25,2657.44,2672.38,2657.33,2664.76,2664.76,3821000000
2019-01-28,2644.97,2644.97,2624.06,2643.85,2643.85,3630820000
2019-01-29,2644.89,2650.93,2631.05,2640,2640,3518070000
2019-01-30,2653.62,2690.44,2648.34,2681.05,2681.05,3883270000
2019-01-31,2685.49,2708.95,2678.65,2704.1,2704.1,4953800000
2019-02-01,2702.32,2716.66,2696.88,2706.53,2706.53,3782490000
2019-02-04,2706.49,2724.99,2698.75,2724.87,2724.87,3369450000
2019-02-05,2728.34,2738.98,2724.03,2737.7,2737.7,3597620000
2019-02-06,2735.05,2738.08,2724.15,2731.61,2731.61,3486590000
2019-02-07,2717.53,2719.32,2687.26,2706.05,2706.05,4114040000
2019-02-08,2692.36,2708.07,2681.83,2707.88,2707.88,3649510000
2019-02-11,2712.4,2718.05,2703.79,2709.8,2709.8,3395330000
2019-02-12,2722.61,2748.19,2722.61,2744.73,2744.73,3843020000
2019-02-13,2750.3,2761.85,2748.63,2753.03,2753.03,3684910000
2019-02-14,2743.5,2757.9,2731.23,2745.73,2745.73,3845390000
2019-02-15,2760.24,2775.66,2760.24,2775.6,2775.6,3648680000
2019-02-19,2769.28,2787.33,2767.29,2779.76,2779.76,3535270000
2019-02-20,2779.05,2789.88,2774.06,2784.7,2784.7,3904830000
2019-02-21,2780.24,2781.58,2764.55,2774.88,2774.88,3598260000
2019-02-22,2780.67,2794.2,2779.11,2792.67,2792.67,3429350000
2019-02-25,2804.35,2813.49,2794.99,2796.11,2796.11,3860260000
2019-02-26,2792.36,2803.12,2789.47,2793.9,2793.9,3676200000
2019-02-27,2787.5,2795.76,2775.13,2792.38,2792.38,3771790000
2019-02-28,2788.11,2793.73,2782.51,2784.49,2784.49,4445780000
2019-03-01,2798.22,2808.02,2787.38,2803.69,2803.69,3994950000
2019-03-04,2814.37,2816.88,2767.66,2792.81,2792.81,3949730000
2019-03-05,2794.41,2796.44,2782.97,2789.65,2789.65,3631380000
2019-03-06,2790.27,2790.27,2768.69,2771.45,2771.45,3800180000
2019-03-07,2766.53,2767.25,2739.09,2748.93,2748.93,3932150000
2019-03-08,2730.79,2744.13,2722.27,2743.07,2743.07,3424300000
2019-03-11,2747.61,2784,2747.61,2783.3,2783.3,3764850000
2019-03-12,2787.34,2798.32,2786.73,2791.52,2791.52,3432340000
2019-03-13,2799.78,2821.24,2799.78,2810.92,2810.92,3782250000
2019-03-14,2810.38,2815,2803.46,2808.48,2808.48,3505670000
2019-03-15,2810.79,2830.73,2810.79,2822.48,2822.48,5969780000
2019-03-18,2822.61,2835.41,2821.99,2832.94,2832.94,3620770000
2019-03-19,2840.76,2852.42,2823.27,2832.57,2832.57,3650740000
2019-03-20,2831.34,2843.54,2812.43,2824.23,2824.23,3779160000
2019-03-21,2819.72,2860.31,2817.38,2854.88,2854.88,3612620000
2019-03-22,2844.52,2846.16,2800.47,2800.71,2800.71,4253730000
2019-03-25,2796.01,2809.79,2785.02,2798.36,2798.36,3406110000
2019-03-26,2812.66,2829.87,2803.99,2818.46,2818.46,3288570000
2019-03-27,2819.72,2825.56,2787.72,2805.37,2805.37,3422400000
2019-03-28,2809.4,2819.71,2798.77,2815.44,2815.44,3185460000
2019-03-29,2828.27,2836.03,2819.23,2834.4,2834.4,3752520000
2019-04-01,2848.63,2869.4,2848.63,2867.19,2867.19,3560090000
2019-04-02,2868.24,2872.9,2858.75,2867.24,2867.24,3267210000
2019-04-03,2876.09,2885.25,2865.17,2873.4,2873.4,3570000000
2019-04-04,2873.99,2881.28,2867.14,2879.39,2879.39,3038740000
2019-04-05,2884.16,2893.24,2882.99,2892.74,2892.74,3155970000
2019-04-08,2888.46,2895.95,2880.78,2895.77,2895.77,3056460000
2019-04-09,2886.58,2886.88,2873.33,2878.2,2878.2,3032480000
2019-04-10,2881.37,2889.71,2879.13,2888.21,2888.21,3092230000
2019-04-11,2891.92,2893.42,2881.99,2888.32,2888.32,2970650000
2019-04-12,2900.86,2910.54,2898.37,2907.41,2907.41,3726050000
2019-04-15,2908.32,2909.6,2896.48,2905.58,2905.58,3114530000
2019-04-16,2912.26,2916.06,2900.71,2907.06,2907.06,3403120000
2019-04-17,2916.04,2918,2895.45,2900.45,2900.45,3648100000
2019-04-18,2904.81,2908.4,2891.9,2905.03,2905.03,3507100000
2019-04-22,2898.78,2909.51,2896.35,2907.97,2907.97,3010130000
2019-04-23,2909.99,2936.31,2908.53,2933.68,2933.68,3674480000
2019-04-24,2934,2936.83,2926.05,2927.25,2927.25,3468480000
2019-04-25,2928.99,2933.1,2912.84,2926.17,2926.17,3440010000
2019-04-26,2925.81,2939.88,2917.56,2939.88,2939.88,3264390000
2019-04-29,2940.58,2949.52,2939.35,2943.03,2943.03,3150390000
2019-04-30,2937.14,2948.22,2924.11,2945.83,2945.83,3939760000
2019-05-01,2952.33,2954.13,2923.36,2923.73,2923.73,3669330000
2019-05-02,2922.16,2931.68,2900.5,2917.52,2917.52,3802290000
2019-05-03,2929.21,2947.85,2929.21,2945.64,2945.64,3357180000
2019-05-06,2908.89,2937.32,2898.21,2932.47,2932.47,3203260000
2019-05-07,2913.03,2913.03,2862.6,2884.05,2884.05,3793060000
2019-05-08,2879.61,2897.96,2873.28,2879.42,2879.42,3543110000
2019-05-09,2859.84,2875.97,2836.4,2870.72,2870.72,3659050000
2019-05-10,2863.1,2891.31,2825.39,2881.4,2881.4,3566780000
2019-05-13,2840.19,2840.19,2801.43,2811.87,2811.87,3900270000
2019-05-14,2820.12,2852.54,2820.12,2834.41,2834.41,3354860000
2019-05-15,2820.38,2858.68,2815.08,2850.96,2850.96,3140900000
2019-05-16,2855.8,2892.15,2855.8,2876.32,2876.32,3338470000
2019-05-17,2858.6,2885.48,2854.23,2859.53,2859.53,3316040000
2019-05-20,2841.94,2853.86,2831.29,2840.23,2840.23,3293750000
2019-05-21,2854.02,2868.88,2854.02,2864.36,2864.36,3223050000
2019-05-22,2856.06,2865.47,2851.11,2856.27,2856.27,3194000000
2019-05-23,2836.7,2836.7,2805.49,2822.24,2822.24,3899320000
2019-05-24,2832.41,2841.36,2820.19,2826.06,2826.06,2889230000
2019-05-28,2830.03,2840.51,2801.58,2802.39,2802.39,4146980000
2019-05-29,2790.25,2792.03,2766.06,2783.02,2783.02,3701110000
2019-05-30,2786.94,2799,2776.74,2788.86,2788.86,3276030000
2019-05-31,2766.15,2768.98,2750.52,2752.06,2752.06,3982670000
2019-06-03,2751.53,2763.07,2728.81,2744.45,2744.45,3952360000
2019-06-04,2762.64,2804.49,2762.64,2803.27,2803.27,3814130000
2019-06-05,2818.09,2827.28,2800.92,2826.15,2826.15,3570760000
2019-06-06,2828.51,2852.1,2822.45,2843.49,2843.49,3445140000
2019-06-07,2852.87,2884.97,2852.87,2873.34,2873.34,3244380000
2019-06-10,2885.83,2904.77,2885.51,2886.73,2886.73,3209890000
2019-06-11,2903.27,2910.61,2878.53,2885.72,2885.72,3551000000
2019-06-12,2882.73,2888.57,2874.68,2879.84,2879.84,3039870000
2019-06-13,2886.24,2895.24,2881.99,2891.64,2891.64,3100640000
2019-06-14,2886.82,2894.45,2879.62,2886.98,2886.98,2992810000
2019-06-17,2889.75,2897.27,2887.3,2889.67,2889.67,2828400000
2019-06-18,2906.71,2930.79,2905.44,2917.75,2917.75,3441540000
2019-06-19,2920.55,2931.74,2911.43,2926.46,2926.46,3300220000
2019-06-20,2949.6,2958.06,2931.5,2954.18,2954.18,3943060000
2019-06-21,2952.71,2964.15,2946.87,2950.46,2950.46,5003540000
2019-06-24,2951.42,2954.92,2944.05,2945.35,2945.35,3136960000
2019-06-25,2945.78,2946.52,2916.01,2917.38,2917.38,3579430000
2019-06-26,2926.07,2932.59,2912.99,2913.78,2913.78,3511350000
2019-06-27,2919.66,2929.3,2918.57,2924.92,2924.92,3162500000
2019-06-28,2932.94,2943.98,2929.05,2941.76,2941.76,5422650000
2019-07-01,2971.41,2977.93,2952.22,2964.33,2964.33,3524860000
2019-07-02,2964.66,2973.21,2955.92,2973.01,2973.01,3224490000
2019-07-03,2978.08,2995.84,2977.96,2995.82,2995.82,1963570000
2019-07-05,2984.25,2994.03,2967.97,2990.41,2990.41,2434680000
2019-07-08,2979.77,2980.76,2970.09,2975.95,2975.95,2922360000
2019-07-09,2965.52,2981.9,2963.44,2979.63,2979.63,3033330000
2019-07-10,2989.3,3002.98,2984.62,2993.07,2993.07,3157800000
2019-07-11,2999.62,3002.33,2988.8,2999.91,2999.91,3155710000
2019-07-12,3003.36,3013.92,3001.87,3013.77,3013.77,2984140000
2019-07-15,3017.8,3017.8,3008.77,3014.3,3014.3,2876100000
2019-07-16,3012.13,3015.02,3001.15,3004.04,3004.04,3297030000
2019-07-17,3005.1,3005.26,2984.25,2984.42,2984.42,3185650000
2019-07-18,2978.87,2998.28,2973.09,2995.11,2995.11,3369820000
2019-07-19,3004.26,3006.02,2975.86,2976.61,2976.61,3285890000
2019-07-22,2981.93,2990.71,2976.65,2985.03,2985.03,3016200000
2019-07-23,2994.74,3005.9,2988.56,3005.47,3005.47,3333810000
2019-07-24,2998.77,3019.59,2996.82,3019.56,3019.56,3433220000
