Title,Price,Category_path,Rating,Qty_califications,Features_JSON_format,Image_Url,Item_Url
Taburete,19.99,Inicio>Muebles Lufe>Sofás, sillas y bancos>Taburete,4.8,4,"{""Material_0"": "" Madera local certificada PEFC"", ""Alto_0"": "" 45 cm"", ""Ancho_0"": "" 45 cm"", ""Fondo_0"": "" 33 cm"", ""Peso_0"": "" 5 kg""}",https://muebleslufe.com/1967-thickbox_default/taburete-lauki.jpg,https://muebleslufe.com/es/sillas-y-bancos/451-taburete-lauki.html
Litera 80,124.99,Inicio>Muebles Lufe>Literas>Litera 80,4.5,19,"{""Descripcion_4"": "" Esta litera incluye la estructura de madera y las lamas como somier. El precio puede variar en función del acabado elegido y la longitud. El plazo de entrega es de máximo 2 semanas.""}",https://muebleslufe.com/1806-thickbox_default/litera-infantil-80.jpg,https://muebleslufe.com/es/litera/435-litera-infantil-80.html
Cama apilable,69.99,Inicio>Muebles Lufe>Camas>Camas apilables>Cama apilable,4.4,207,"{""Material"": "" Madera local certificada PEFC"", ""Altura total de la cama"": "" 21 cm"", ""Largo exterior"": "" 197 / 207 cm"", ""Anchura exterior"": "" 98 cm"", ""Largo interior"": "" 192 / 202 cm"", ""Anchura interior"": "" 92 cm"", ""El hueco disponible para el colchón"": "" es de 190 x 90 cm o 200 x 90 cm""}",https://muebleslufe.com/808-thickbox_default/lufe-estructura-de-cama-apilable.jpg,https://muebleslufe.com/es/camas-apilables/174-lufe-estructura-de-cama-apilable.html
Cama apilable infantil completa,74.99,Inicio>Muebles Lufe>Camas>Camas apilables>Cama apilable infantil completa,4.7,48,"{""Descripcion_0"": null}",https://muebleslufe.com/1846-thickbox_default/cama-apilable-infantil-completa.jpg,https://muebleslufe.com/es/camas-apilables/282-cama-apilable-infantil-completa.html
Cama apilable completa,144.99,Inicio>Muebles Lufe>Camas>Camas apilables>Cama apilable completa,4.5,135,"{""Material"": "" Madera local certificada PEFC"", ""Altura total de la cama"": "" 21 cm"", ""Largo exterior"": "" 197 / 207 cm"", ""Anchura exterior"": "" 98 cm"", ""Largo interior"": "" 192 / 202 cm"", ""Anchura interior"": "" 92 cm"", ""El hueco del colchón"": "" puede ser de 190 x 90 cm o 200 x 90 cm."", ""Espesor del colchón"": "" 12 cm"", ""Descripcion_1"": "" Características del colchón"", ""Descripcion_2"": null}",https://muebleslufe.com/805-thickbox_default/lufe-cama-apilable-completa.jpg,https://muebleslufe.com/es/camas-apilables/175-lufe-cama-apilable-completa.html
Mesa de estudio,44.99,Inicio>Muebles Lufe>Mesas de madera>Mesas de estudio>Mesa de estudio,4.6,204,"{""Material"": "" Madera local certificada PEFC"", ""Altura mesa"": "" 75 cm"", ""Anchura mesa"": "" 55 cm"", ""Largos disponibles"": "" 80 cm/ 120 cm""}",https://muebleslufe.com/764-thickbox_default/mesa-de-estudio.jpg,https://muebleslufe.com/es/mesa-estudio/107-mesa-de-estudio.html
Estantería Montessori 1 balda,14.99,Inicio>Muebles Lufe>Ambientes>Dormitorios>Habitaciones infantiles>Estantería Montessori 1 balda,4.7,109,"{""Descripcion_0"": "" Material"", ""Número de baldas_0"": "" 1 "", ""Altura total_0"": "" 34,5 cm"", ""Anchura exterior_0"": "" 72,5 cm "", ""Fondo estantería_0"": "" 11 cm"", ""Grueso de laterales y baldas_0"": "" 2 cm""}",https://muebleslufe.com/1701-thickbox_default/estanteria-montessori-una-balda.jpg,https://muebleslufe.com/es/habitaciones-infantiles/421-estanteria-montessori-una-balda.html
Conjunto 80,79.99,Inicio>Muebles Lufe>Mesas de madera>Mesas de estudio>Conjunto 80,,,"{""Descripcion_0"": "" ESCRITORIO"", ""Altura total_0"": "" 89 cm"", ""Altura hasta la encimera_0"": "" 74,5 cm"", ""Distancia de la mesa a la balda_0"": "" 12,5 cm"", ""Fondo de la balda_0"": "" 20 cm"", ""Fondo total_0"": "" 57 cm"", ""Ancho total_0"": "" 80"", ""Peso_0"": "" 10 kg"", ""Descripcion_1"": "" TABURETE"", ""Alto_1"": "" 45 cm"", ""Ancho_1"": "" 45 cm"", ""Fondo_1"": "" 33 cm"", ""Peso_1"": "" 5 kg""}",https://muebleslufe.com/1981-thickbox_default/conjunto-escritorio-80.jpg,https://muebleslufe.com/es/mesa-estudio/454-conjunto-escritorio-80.html
Estantería Básica 80 - 3 baldas,29.99,Inicio>Muebles Lufe>Estanterías  de madera>Estanterías Básicas>Estantería Básica 80 - 3 baldas,4.6,60,"{""Material"": "" Madera local certificada PEFC"", ""Número de baldas"": "" 3 "", ""Altura total"": "" 74 cm"", ""Anchura exterior"": "" 84 cm "", ""Anchura interior"": "" 80 cm"", ""Fondo estantería"": "" 21 cm"", ""Grueso de laterales y baldas"": "" 2 cm""}",https://muebleslufe.com/755-thickbox_default/estanteria-de-80-de-ancho-y-3-baldas.jpg,https://muebleslufe.com/es/basica40/74-estanteria-de-80-de-ancho-y-3-baldas.html
Mesa de estudio con silla,69.99,Inicio>Muebles Lufe>Mesas de madera>Mesas de estudio>Mesa de estudio con silla,4.5,45,"{""Material"": "" Madera local certificada PEFC"", ""Altura del asiento"": "" 45 cm"", ""Anchura del asiento"": "" 37 cm/32 cm"", ""Fondo del asiento"": "" 42 cm"", ""Altura del respaldo"": "" 86 cm""}",https://muebleslufe.com/1756-thickbox_default/conjunto-mesa-y-silla.jpg,https://muebleslufe.com/es/mesa-estudio/115-conjunto-mesa-y-silla.html
Litera Montessori 90 con colchones,299.99,Inicio>Muebles Lufe>Literas>Litera Montessori 90 con colchones,4.4,50,"{""En los estándares de seguridad la altura máxima recomendado para la barrera de la parte superior es de 20 cm, por lo que no es aconsejable utilizar un colchón que supere los 21 cm de altura._6"": null, ""Descripcion_7"": "" Este producto incluye la estructura y lamas de madera maciza y los dos colchones de espuma de última generación con tecnología supersoft."", ""Descripcion_8"": "" Plazo máximo de entrega""}",https://muebleslufe.com/1729-thickbox_default/litera-montessori-colchones.jpg,https://muebleslufe.com/es/litera/404-litera-montessori-colchones.html
Baúl 70 cm + estantería Montessori 1 balda,64.98,Inicio>Muebles Lufe>Ambientes>Dormitorios>Habitaciones infantiles>Baúl 70 cm + estantería Montessori 1 balda,4.4,17,"{""Descripcion_0"": null}",https://muebleslufe.com/1763-thickbox_default/baul-y-estanteria-montessori.jpg,https://muebleslufe.com/es/habitaciones-infantiles/426-baul-y-estanteria-montessori.html
Baúl de almacenaje,49.99,Inicio>Muebles Lufe>Muebles de almacenaje>Baúles y pies de cama>Baúl de almacenaje,4.5,206,"{""Material"": "" Madera local certificada PEFC"", ""Medidas"": "" 700 x 400 x 345 mm y 1000 x 400 x 345 mm (largo x ancho x alto)""}",https://muebleslufe.com/1351-thickbox_default/baul-pie-de-cama.jpg,https://muebleslufe.com/es/baules-pies-de-cama/316-baul-pie-de-cama.html
